Ticker;Entree;Sortie;Raison;Prix_E;Prix_S;Pnl%;Mise_EUR;PnL_EUR;Capital_Avant;Capital_Apres;Cumul_PnL
CNX;2017-03-01;2017-04-03;DROPPED_FROM_TOP;13,388375;13,99;4,46;600;26,76;3000;948,88;26,76
FCX;2017-03-01;2017-04-03;DROPPED_FROM_TOP;12,64310361;11,94;-5,55;480;-26,64;2400;1402,24;0,12
NVDA;2017-03-01;2017-04-03;REBALANCE_ADJUST;2,534055228;2,67;5,44;384;20,89;1920;1807,13;21,01
OKE;2017-03-01;2017-04-03;REBALANCE_ADJUST;31,40809906;31,36;-0,14;307,2;-0,43;1536;2113,9;20,58
URI;2017-03-01;2017-04-03;REBALANCE_ADJUST;128,7323483;119,53;-7,15;245,76;-17,57;1228,8;2342,09;3,01
CSX;2017-04-03;2017-05-01;DROPPED_FROM_TOP;13,71591168;15,13;10,34;196,61;20,33;983,04;984,39;23,34
MU;2017-04-03;2017-05-01;REBALANCE_ADJUST;27,96015077;27,62;-1,22;157,29;-1,92;786,43;1139,76;21,42
NVDA;2017-04-03;2017-05-01;REBALANCE_ADJUST;2,671863654;2,63;-1,61;125,83;-2,03;629,15;1263,56;19,39
OKE;2017-04-03;2017-05-01;REBALANCE_ADJUST;31,36273514;30,41;-3,05;100,66;-3,07;503,32;1361,16;16,32
URI;2017-04-03;2017-05-01;REBALANCE_ADJUST;119,5330107;105,1;-12,07;80,53;-9,72;402,65;1431,97;6,6
URI;2017-05-01;2017-06-01;DROPPED_FROM_TOP;105,1017924;105,94;0,8;468,42;3,75;2342,09;1058,7;23,35
RF;2017-05-01;2017-06-01;DROPPED_FROM_TOP;9,811901327;9,74;-0,78;374,73;-2,92;1873,67;1430,51;108,51
OKE;2017-05-01;2017-06-01;DROPPED_FROM_TOP;30,40735108;28,88;-5,04;299,79;-15,11;1498,94;1715,19;93,4
NVDA;2017-05-01;2017-06-01;REBALANCE_ADJUST;2,628967684;3,56;35,51;239,83;85,16;1199,15;2040,18;90,48
MU;2017-05-01;2017-06-01;REBALANCE_ADJUST;27,6184665;30,03;8,73;191,86;16,75;959,32;2248,8;94,23
AMAT;2017-06-01;2017-07-03;REBALANCE_ADJUST;41,77534567;37,24;-10,85;286,39;-31,07;1431,97;992,21;63,16
MU;2017-06-01;2017-07-03;REBALANCE_ADJUST;30,0298358;28,45;-5,27;229,11;-12,07;1145,57;1209,25;51,09
NVDA;2017-06-01;2017-07-03;REBALANCE_ADJUST;3,562617725;3,44;-3,48;183,29;-6,38;916,46;1386,16;44,71
STX;2017-06-01;2017-07-03;DROPPED_FROM_TOP;29,70312201;27,08;-8,82;146,63;-12,93;733,17;1519,86;31,78
AMAT;2017-07-03;2017-08-01;DROPPED_FROM_TOP;37,24361586;39,97;7,32;449,76;32,92;2248,8;980,71;64,7
CSX;2017-07-03;2017-08-01;REBALANCE_ADJUST;16,09805409;14,36;-10,81;359,81;-38,9;1799,04;1301,62;25,8
MU;2017-07-03;2017-08-01;REBALANCE_ADJUST;28,44828261;27,67;-2,75;287,85;-7,92;1439,23;1581,55;17,88
NVDA;2017-07-03;2017-08-01;REBALANCE_ADJUST;3,438483629;4,06;18,06;230,28;41,59;1151,38;1853,42;59,47
WDC;2017-07-03;2017-08-01;REBALANCE_ADJUST;58,23096332;58,49;0,45;184,22;0,83;921,11;2038,47;60,3
WDC;2017-08-01;2017-09-01;REBALANCE_ADJUST;58,49040829;61,73;5,53;303,97;16,81;1519,86;1155,74;63,59
MU;2017-08-01;2017-09-01;REBALANCE_ADJUST;27,66727663;31,83;15,03;243,18;36,55;1215,89;1435,46;70,83
NVDA;2017-08-01;2017-09-01;REBALANCE_ADJUST;4,059398494;4,21;3,72;194,54;7,24;972,71;1637,24;57,46
BBY;2017-08-01;2017-09-01;DROPPED_FROM_TOP;43,22287864;39,51;-8,59;155,63;-13,37;778,17;1779,51;74,27
CSX;2017-08-01;2017-09-01;DROPPED_FROM_TOP;14,35796488;14,74;2,64;124,51;3,29;622,53;1907,3;110,82
MU;2017-09-01;2017-10-02;REBALANCE_ADJUST;31,82615548;39,06;22,73;407,69;92,67;2038,47;1125,35;203,49
NFLX;2017-09-01;2017-10-02;DROPPED_FROM_TOP;17,49147493;17,68;1,1;326,15;3,59;1630,77;1455,09;207,08
NVDA;2017-09-01;2017-10-02;REBALANCE_ADJUST;4,210434484;4,42;5,01;260,92;13,07;1304,62;1729,09;220,15
WDC;2017-09-01;2017-10-02;REBALANCE_ADJUST;61,72658573;57,26;-7,24;208,74;-15,11;1043,7;1922,71;205,04
HAR;2017-10-02;2017-11-01;REBALANCE_ADJUST;11661,65;9779,77;-16,14;381,46;-61,57;1907,3;949,93;143,47
MU;2017-10-02;2017-11-01;REBALANCE_ADJUST;39,06025766;43,33;10,92;305,17;33,32;1525,84;1288,42;176,79
NRG;2017-10-02;2017-11-01;REBALANCE_ADJUST;21,04734582;20,46;-2,78;244,13;-6,79;1220,67;1525,77;170
NVDA;2017-10-02;2017-11-01;REBALANCE_ADJUST;4,421375768;5,12;15,75;195,31;30,76;976,54;1751,84;200,76
WDC;2017-10-02;2017-11-01;DROPPED_FROM_TOP;57,25643706;61,15;6,8;156,25;10,62;781,23;1918,71;211,38
MU;2017-11-01;2017-12-01;REBALANCE_ADJUST;43,32653597;40,99;-5,39;384,54;-20,73;1922,71;992,54;242,19
NVDA;2017-11-01;2017-12-01;REBALANCE_ADJUST;5,117928195;4,89;-4,53;307,63;-13,94;1538,17;1286,24;250,6
NRG;2017-11-01;2017-12-01;REBALANCE_ADJUST;20,46301803;23,03;12,52;246,11;30,81;1230,54;1563,16;265,31
HAR;2017-11-01;2017-12-01;REBALANCE_ADJUST;9779,77;10510,5;7,47;196,89;14,71;984,43;1774,75;251,37
BA;2017-11-01;2017-12-01;DROPPED_FROM_TOP;245,2764645;258,36;5,34;157,51;8,41;787,54;1940,67;230,64
BBBY;2017-12-01;2018-01-02;REBALANCE_ADJUST;42,34229924;64,71;52,84;383,74;202,77;1918,71;1222,43;433,41
HAR;2017-12-01;2018-01-02;REBALANCE_ADJUST;10510,5;8618,61;-18;306,99;-55,26;1534,97;1474,16;378,15
MU;2017-12-01;2018-01-02;REBALANCE_ADJUST;40,99326096;42,63;4;245,59;9,82;1227,97;1729,58;387,97
NRG;2017-12-01;2018-01-02;REBALANCE_ADJUST;23,02501236;23,81;3,4;196,48;6,68;982,38;1932,74;394,65
